Date,Time,wind direction,Hallormstadahals [m/s],wind direction,Hveravellir [m/s],wind direction,Jokulheimar [m/s],wind direction,Kárahnjúkar [m/s],wind direction,Kerlingafjöll [m/s],wind direction,Kolka [m/s],wind direction,Laufbali [m/s],wind direction,Sandbúðir [m/s],wind direction,Sáta [m/s],wind direction,Setur [m/s],wind direction,Upptyppingar [m/s],wind direction,Veiðivatnahraun [m/s],wind direction,Þúfuver [m/s]
Wed 02.11,16:00 GMT,C,0,N,10,NNE,10,NW,7,NNE,16,NNW,7,N,7,NE,5,NNW,3,E,2,NNW,6,NE,3,ENE,6
Wed 02.11,15:00 GMT,C,0,N,10,NNE,11,WNW,8,N,13,NNW,6,NNW,7,NE,5,NNW,4,SE,2,NNW,7,NNE,10,ENE,8
Wed 02.11,14:00 GMT,C,0,N,10,N,9,NW,7,N,18,NNW,6,NNW,7,NE,4,NNW,4,SSE,3,NNW,6,NNE,10,NE,11
Wed 02.11,13:00 GMT,C,0,N,10,NNW,9,NW,8,NNE,19,N,6,NW,5,ENE,5,N,4,NE,7,NNW,5,NNE,8,NNE,12
Wed 02.11,12:00 GMT,C,0,N,10,N,8,WNW,7,NNE,10,N,4,NW,6,NE,5,NNE,4,ENE,9,NNW,7,NE,7,NE,9
Wed 02.11,11:00 GMT,C,0,N,10,NNW,5,NW,7,NNW,12,WNW,4,NNW,5,ENE,6,NNE,5,NNE,8,NNW,7,NNE,10,NE,17
Wed 02.11,10:00 GMT,C,0,N,9,WNW,4,NW,8,NW,19,NNE,4,NW,8,ENE,6,NNE,5,NE,7,NNW,6,NNE,11,NE,15
Wed 02.11,09:00 GMT,C,0,N,9,NNW,4,NW,6,NNW,18,N,4,NW,4,ENE,7,N,4,ENE,8,NNW,6,NNE,12,NE,19
Wed 02.11,08:00 GMT,N,5,NNW,8,N,12,NW,6,NNW,16,NNW,4,N,2,ENE,8,NE,2,NNE,9,NNW,7,NNE,10,NE,19
Wed 02.11,07:00 GMT,NNW,8,N,8,NNE,16,NW,5,NW,15,N,6,NW,1,ENE,8,ENE,3,ENE,6,NNW,6,NNE,10,NE,19
Wed 02.11,06:00 GMT,N,7,N,8,NE,13,NW,7,NNW,7,NNE,9,N,4,ENE,8,E,6,NE,11,N,6,N,12,NE,19
Wed 02.11,05:00 GMT,N,8,N,9,NNE,14,NW,5,W,4,NNE,11,ENE,9,ENE,9,E,6,N,9,N,6,N,10,NNE,19
Wed 02.11,04:00 GMT,N,4,N,8,NNE,12,NW,5,NNW,4,NNE,10,NE,5,NE,9,E,6,NNE,13,N,6,N,11,NNE,20
